Date : 2025-07-29 23:34:10
Directory : d:\Flutter\old_version\lib
Total : 325 files,  39759 codes, 2131 comments, 2407 blanks, all 44297 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Flutter\old_version\lib\data\source\inventory_data\budget_data.dart                                   | Dart     |         37 |          0 |          9 |         46 |
| d:\Flutter\old_version\lib\data\source\inventory_data\creditor_deptor_class.dart                         | Dart     |         89 |          0 |          6 |         95 |
| d:\Flutter\old_version\lib\data\source\inventory_data\expenses_class.dart                                | Dart     |         79 |          0 |          5 |         84 |
| d:\Flutter\old_version\lib\data\source\inventory_data\imp_exp_class.dart                                 | Dart     |        144 |          4 |         13 |        161 |
| d:\Flutter\old_version\lib\data\source\inventory_data\invoice_class.dart                                 | Dart     |        112 |          0 |          7 |        119 |
| d:\Flutter\old_version\lib\data\source\inventory_data\profit_inventory_class.dart                        | Dart     |        170 |          0 |          8 |        178 |
| d:\Flutter\old_version\lib\data\source\items_class.dart                                                  | Dart     |        135 |          1 |         15 |        151 |
| d:\Flutter\old_version\lib\data\source\reports_data.dart                                                 | Dart     |        440 |         52 |         55 |        547 |
| d:\Flutter\old_version\lib\data\source\transaction_class.dart                                            | Dart     |        143 |          2 |         20 |        165 |
| d:\Flutter\old_version\lib\data\source\users_class.dart                                                  | Dart     |         53 |          0 |         11 |         64 |
| d:\Flutter\old_version\lib\data\sql\sqldb.dart                                                           | Dart     |        153 |          8 |         26 |        187 |
| d:\Flutter\old_version\lib\main.dart                                                                     | Dart     |         75 |          0 |          7 |         82 |
| d:\Flutter\old_version\lib\view\add_account\add_account_screen.dart                                      | Dart     |         19 |          0 |          3 |         22 |
| d:\Flutter\old_version\lib\view\add_account\components\account_tree_menu.dart                            | Dart     |         61 |          0 |          4 |         65 |
| d:\Flutter\old_version\lib\view\add_account\components\add_users_account_dialog.dart                     | Dart     |         82 |          0 |          3 |         85 |
| d:\Flutter\old_version\lib\view\add_account\components\show_add_account_dialog.dart                      | Dart     |         86 |          1 |          3 |         90 |
| d:\Flutter\old_version\lib\view\add_account\mobile\add_account_screen_mobile.dart                        | Dart     |          8 |          0 |          2 |         10 |
| d:\Flutter\old_version\lib\view\add_account\windows\add_account_screen_windows.dart                      | Dart     |        239 |          6 |         10 |        255 |
| d:\Flutter\old_version\lib\view\auth\login\login_screen.dart                                             | Dart     |        188 |          1 |          7 |        196 |
| d:\Flutter\old_version\lib\view\auth\system_auth\register_system_screen.dart                             | Dart     |        226 |          0 |          7 |        233 |
| d:\Flutter\old_version\lib\view\auth\system_auth\verify_account_screen.dart                              | Dart     |        127 |          0 |          6 |        133 |
| d:\Flutter\old_version\lib\view\buying\buying_screen.dart                                                | Dart     |         16 |          0 |          3 |         19 |
| d:\Flutter\old_version\lib\view\buying\components\buying_table_view.dart                                 | Dart     |        138 |         29 |          5 |        172 |
| d:\Flutter\old_version\lib\view\buying\components\buying_text_field.dart                                 | Dart     |        128 |          1 |          7 |        136 |
| d:\Flutter\old_version\lib\view\buying\components\custom_dropdown_buying.dart                            | Dart     |         99 |          2 |          5 |        106 |
| d:\Flutter\old_version\lib\view\buying\mobile\buying_screen_mobile.dart                                  | Dart     |        294 |          4 |          3 |        301 |
| d:\Flutter\old_version\lib\view\buying\mobile\view_buying_details_screen_mobile.dart                     | Dart     |         63 |          0 |          3 |         66 |
| d:\Flutter\old_version\lib\view\buying\windows\add_buying\add_buying_table.dart                          | Dart     |         46 |          0 |          3 |         49 |
| d:\Flutter\old_version\lib\view\buying\windows\buying_screen_windows.dart                                | Dart     |        295 |          4 |          3 |        302 |
| d:\Flutter\old_version\lib\view\buying\windows\view_buying\view_buying_table.dart                        | Dart     |        172 |          1 |          5 |        178 |
| d:\Flutter\old_version\lib\view\buying\windows\view_details\view_buying_details_screen.dart              | Dart     |        148 |          0 |          3 |        151 |
| d:\Flutter\old_version\lib\view\cashier\cashier_screen.dart                                              | Dart     |        122 |          8 |         15 |        145 |
| d:\Flutter\old_version\lib\view\cashier\components\drop_down_search_users_cashier.dart                   | Dart     |        170 |          1 |          7 |        178 |
| d:\Flutter\old_version\lib\view\cashier\mobile\cashier_screen_mobile.dart                                | Dart     |        130 |          2 |          3 |        135 |
| d:\Flutter\old_version\lib\view\cashier\mobile\components\bottom_cashier_buttons.dart                    | Dart     |        165 |          2 |          5 |        172 |
| d:\Flutter\old_version\lib\view\cashier\mobile\components\custom_payment_dialog_mobile.dart              | Dart     |        156 |          4 |          8 |        168 |
| d:\Flutter\old_version\lib\view\cashier\mobile\components\footer_details_widget.dart                     | Dart     |        106 |          6 |          6 |        118 |
| d:\Flutter\old_version\lib\view\cashier\mobile\components\pending_carts_mobile.dart                      | Dart     |        152 |          0 |          6 |        158 |
| d:\Flutter\old_version\lib\view\cashier\mobile\components\search_widget_mobile.dart                      | Dart     |         69 |          0 |          3 |         72 |
| d:\Flutter\old_version\lib\view\cashier\mobile\components\table_widget.dart                              | Dart     |         45 |          0 |          4 |         49 |
| d:\Flutter\old_version\lib\view\cashier\windows\action\cashier_action_side.dart                          | Dart     |        200 |          5 |          3 |        208 |
| d:\Flutter\old_version\lib\view\cashier\windows\action\components\custom_cashier_dialog.dart             | Dart     |        147 |          5 |          7 |        159 |
| d:\Flutter\old_version\lib\view\cashier\windows\action\components\export_pdf_dialog.dart                 | Dart     |        110 |          0 |          2 |        112 |
| d:\Flutter\old_version\lib\view\cashier\windows\action\components\payment_dialog.dart                    | Dart     |        187 |          6 |          4 |        197 |
| d:\Flutter\old_version\lib\view\cashier\windows\action\components\show_last_invoices.dart                | Dart     |         86 |          0 |          3 |         89 |
| d:\Flutter\old_version\lib\view\cashier\windows\view\cashier_view_section_screen.dart                    | Dart     |        181 |          3 |         10 |        194 |
| d:\Flutter\old_version\lib\view\cashier\windows\view\components\cashier_table_rows.dart                  | Dart     |        158 |          1 |         12 |        171 |
| d:\Flutter\old_version\lib\view\cashier\windows\view\components\custom_grid_data_view.dart               | Dart     |        241 |         14 |          9 |        264 |
| d:\Flutter\old_version\lib\view\cashier\windows\view\components\custom_pending_cart.dart                 | Dart     |        137 |        135 |          8 |        280 |
| d:\Flutter\old_version\lib\view\cashier\windows\view\components\display_quantity_field.dart              | Dart     |         70 |          4 |          3 |         77 |
| d:\Flutter\old_version\lib\view\categories\catagories_screen.dart                                        | Dart     |         19 |          0 |          3 |         22 |
| d:\Flutter\old_version\lib\view\categories\categories_add_screen.dart                                    | Dart     |         18 |          0 |          3 |         21 |
| d:\Flutter\old_version\lib\view\categories\categories_edit_screen.dart                                   | Dart     |         19 |          0 |          3 |         22 |
| d:\Flutter\old_version\lib\view\categories\mobile\categories_screen_mobile.dart                          | Dart     |         38 |          0 |          3 |         41 |
| d:\Flutter\old_version\lib\view\categories\widgets\add_category_form.dart                                | Dart     |        168 |          1 |          6 |        175 |
| d:\Flutter\old_version\lib\view\categories\widgets\categories_card_widget.dart                           | Dart     |        135 |          2 |          2 |        139 |
| d:\Flutter\old_version\lib\view\categories\widgets\view_categories_widget.dart                           | Dart     |         46 |          0 |          7 |         53 |
| d:\Flutter\old_version\lib\view\categories\windows\categories_add_screen_windows.dart                    | Dart     |         61 |          2 |          4 |         67 |
| d:\Flutter\old_version\lib\view\categories\windows\categries_screen_windows.dart                         | Dart     |         66 |          2 |          4 |         72 |
| d:\Flutter\old_version\lib\view\home\desktop\home_logo.dart                                              | Dart     |         14 |          0 |          2 |         16 |
| d:\Flutter\old_version\lib\view\home\desktop\home_screen_windows.dart                                    | Dart     |         33 |          0 |          3 |         36 |
| d:\Flutter\old_version\lib\view\home\desktop\home_widget_list.dart                                       | Dart     |        100 |          1 |          4 |        105 |
| d:\Flutter\old_version\lib\view\home\drawer\acount_screen.dart                                           | Dart     |        174 |          0 |          3 |        177 |
| d:\Flutter\old_version\lib\view\home\drawer\add_admin_screen.dart                                        | Dart     |        187 |          0 |          3 |        190 |
| d:\Flutter\old_version\lib\view\home\drawer\custom_home_drawer.dart                                      | Dart     |        169 |          0 |          3 |        172 |
| d:\Flutter\old_version\lib\view\home\home_screen.dart                                                    | Dart     |         36 |          0 |          3 |         39 |
| d:\Flutter\old_version\lib\view\home\mobile\home_logo_mobile.dart                                        | Dart     |         11 |          0 |          2 |         13 |
| d:\Flutter\old_version\lib\view\home\mobile\home_screen_mobile.dart                                      | Dart     |         32 |          0 |          4 |         36 |
| d:\Flutter\old_version\lib\view\home\mobile\how_widget_list_mobile.dart                                  | Dart     |         86 |          0 |          2 |         88 |
| d:\Flutter\old_version\lib\view\imp_exp\components\account_drop_down_widget.dart                         | Dart     |        150 |          0 |          5 |        155 |
| d:\Flutter\old_version\lib\view\imp_exp\components\add_transaction_form_dialog.dart                      | Dart     |         84 |          2 |          3 |         89 |
| d:\Flutter\old_version\lib\view\imp_exp\components\custom_drop_down_impexp.dart                          | Dart     |        116 |          1 |          5 |        122 |
| d:\Flutter\old_version\lib\view\imp_exp\components\custom_expansion_tile.dart                            | Dart     |         67 |          0 |          3 |         70 |
| d:\Flutter\old_version\lib\view\imp_exp\components\edit_import_export.dart                               | Dart     |        115 |          0 |          4 |        119 |
| d:\Flutter\old_version\lib\view\imp_exp\desktop\export\export_add_widget.dart                            | Dart     |        123 |          0 |          3 |        126 |
| d:\Flutter\old_version\lib\view\imp_exp\desktop\export\export_search_widget.dart                         | Dart     |        228 |          0 |          3 |        231 |
| d:\Flutter\old_version\lib\view\imp_exp\desktop\export\export_table_widget.dart                          | Dart     |        182 |         14 |          6 |        202 |
| d:\Flutter\old_version\lib\view\imp_exp\desktop\import\import_add_widget.dart                            | Dart     |        126 |          0 |          3 |        129 |
| d:\Flutter\old_version\lib\view\imp_exp\desktop\import\import_screen.dart                                | Dart     |         49 |          3 |          6 |         58 |
| d:\Flutter\old_version\lib\view\imp_exp\desktop\import\import_search_widget.dart                         | Dart     |        181 |         21 |          3 |        205 |
| d:\Flutter\old_version\lib\view\imp_exp\desktop\import\import_table_widget.dart                          | Dart     |        125 |          0 |          6 |        131 |
| d:\Flutter\old_version\lib\view\imp_exp\export_screen.dart                                               | Dart     |         17 |         99 |          8 |        124 |
| d:\Flutter\old_version\lib\view\imp_exp\import_export_screen.dart                                        | Dart     |        135 |          0 |          4 |        139 |
| d:\Flutter\old_version\lib\view\imp_exp\import_screen.dart                                               | Dart     |         17 |          0 |          4 |         21 |
| d:\Flutter\old_version\lib\view\imp_exp\mobile\export\export_add_widget_mobile.dart                      | Dart     |        121 |          0 |          3 |        124 |
| d:\Flutter\old_version\lib\view\imp_exp\mobile\export\export_screen_mobile.dart                          | Dart     |         58 |          0 |          4 |         62 |
| d:\Flutter\old_version\lib\view\imp_exp\mobile\export\export_search_widget_mobile.dart                   | Dart     |        179 |          0 |          3 |        182 |
| d:\Flutter\old_version\lib\view\imp_exp\mobile\import\import_add_widget_mobile.dart                      | Dart     |        113 |          0 |          3 |        116 |
| d:\Flutter\old_version\lib\view\imp_exp\mobile\import\import_screen_mobile.dart                          | Dart     |        106 |          0 |          4 |        110 |
| d:\Flutter\old_version\lib\view\imp_exp\mobile\import\import_search_widget_mobile.dart                   | Dart     |        174 |          0 |          3 |        177 |
| d:\Flutter\old_version\lib\view\inventory\components\inventory_custom_stack.dart                         | Dart     |         38 |          9 |          3 |         50 |
| d:\Flutter\old_version\lib\view\inventory\inventory_screen.dart                                          | Dart     |         16 |          0 |          3 |         19 |
| d:\Flutter\old_version\lib\view\inventory\mobile\inventory_screen_mobile.dart                            | Dart     |        291 |          2 |          5 |        298 |
| d:\Flutter\old_version\lib\view\inventory\windows\box\all_invoices_table_box.dart                        | Dart     |        143 |          0 |          4 |        147 |
| d:\Flutter\old_version\lib\view\inventory\windows\box\box_table_rows.dart                                | Dart     |        172 |          0 |          4 |        176 |
| d:\Flutter\old_version\lib\view\inventory\windows\box\custom_box_widget.dart                             | Dart     |        239 |          4 |          3 |        246 |
| d:\Flutter\old_version\lib\view\inventory\windows\budget\budget_screen.dart                              | Dart     |        141 |          0 |          7 |        148 |
| d:\Flutter\old_version\lib\view\inventory\windows\creditor\creditor_table_rows.dart                      | Dart     |        116 |          0 |          3 |        119 |
| d:\Flutter\old_version\lib\view\inventory\windows\creditor\view_creditor_details.dart                    | Dart     |        173 |          3 |          4 |        180 |
| d:\Flutter\old_version\lib\view\inventory\windows\custom_drop_down_inventory.dart                        | Dart     |        104 |         17 |          5 |        126 |
| d:\Flutter\old_version\lib\view\inventory\windows\debtor\debtor_table_rows.dart                          | Dart     |        116 |          0 |          3 |        119 |
| d:\Flutter\old_version\lib\view\inventory\windows\debtor\view_debtor_details.dart                        | Dart     |        156 |          4 |          5 |        165 |
| d:\Flutter\old_version\lib\view\inventory\windows\expense\expense_table_rows.dart                        | Dart     |        187 |          0 |          4 |        191 |
| d:\Flutter\old_version\lib\view\inventory\windows\export\export_table_rows.dart                          | Dart     |        193 |          0 |          4 |        197 |
| d:\Flutter\old_version\lib\view\inventory\windows\import\import_table_rows.dart                          | Dart     |        192 |          1 |          3 |        196 |
| d:\Flutter\old_version\lib\view\inventory\windows\inventory_screen_windows.dart                          | Dart     |        223 |          2 |          4 |        229 |
| d:\Flutter\old_version\lib\view\inventory\windows\profits\profits_table_rows.dart                        | Dart     |        215 |          0 |          3 |        218 |
| d:\Flutter\old_version\lib\view\inventory\windows\total_profit\all_invoices_table.dart                   | Dart     |        140 |          0 |          4 |        144 |
| d:\Flutter\old_version\lib\view\inventory\windows\total_profit\custom_total_profits_widgets.dart         | Dart     |        126 |          3 |          3 |        132 |
| d:\Flutter\old_version\lib\view\items\items_add_screen.dart                                              | Dart     |         14 |          0 |          3 |         17 |
| d:\Flutter\old_version\lib\view\items\items_edit_screen.dart                                             | Dart     |         14 |          0 |          3 |         17 |
| d:\Flutter\old_version\lib\view\items\items_screen.dart                                                  | Dart     |        151 |          0 |          5 |        156 |
| d:\Flutter\old_version\lib\view\items\items_view_screen.dart                                             | Dart     |         17 |          0 |          3 |         20 |
| d:\Flutter\old_version\lib\view\items\mobile\items_add_screen_mobile.dart                                | Dart     |         28 |          0 |          3 |         31 |
| d:\Flutter\old_version\lib\view\items\mobile\items_edit_screen_mobile.dart                               | Dart     |         28 |          0 |          3 |         31 |
| d:\Flutter\old_version\lib\view\items\mobile\items_view_screen_mobile.dart                               | Dart     |         76 |          0 |          5 |         81 |
| d:\Flutter\old_version\lib\view\items\widget\custom_add_items.dart                                       | Dart     |        298 |          5 |          4 |        307 |
| d:\Flutter\old_version\lib\view\items\widget\custom_show_items.dart                                      | Dart     |        336 |         13 |          9 |        358 |
| d:\Flutter\old_version\lib\view\items\widget\custom_update_widget.dart                                   | Dart     |        162 |          2 |          4 |        168 |
| d:\Flutter\old_version\lib\view\items\widget\items_button_actions.dart                                   | Dart     |         78 |          0 |          2 |         80 |
| d:\Flutter\old_version\lib\view\items\widget\items_details_dialog.dart                                   | Dart     |        150 |          0 |         10 |        160 |
| d:\Flutter\old_version\lib\view\items\widget\mobile_action_widget.dart                                   | Dart     |        163 |          0 |          6 |        169 |
| d:\Flutter\old_version\lib\view\items\widget\upload_image.dart                                           | Dart     |         73 |          0 |          5 |         78 |
| d:\Flutter\old_version\lib\view\items\windows\items_add_screen_windows.dart                              | Dart     |         72 |          0 |          3 |         75 |
| d:\Flutter\old_version\lib\view\items\windows\items_update_screen_windows.dart                           | Dart     |         38 |          0 |          3 |         41 |
| d:\Flutter\old_version\lib\view\items\windows\items_view_screen_windows.dart                             | Dart     |        182 |          0 |          4 |        186 |
| d:\Flutter\old_version\lib\view\reports\billing_profits\billing_profits_screen.dart                      | Dart     |          8 |          0 |          2 |         10 |
| d:\Flutter\old_version\lib\view\reports\components\drop_down_accounts_search.dart                        | Dart     |        131 |          0 |          4 |        135 |
| d:\Flutter\old_version\lib\view\reports\components\reports_action_buttons.dart                           | Dart     |         60 |          1 |          2 |         63 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\account_statement\account_statement_table.dart     | Dart     |         67 |          5 |          3 |         75 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\bank\bank_table.dart                               | Dart     |         70 |          5 |          3 |         78 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\box\box_table.dart                                 | Dart     |         66 |          5 |          3 |         74 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\customer\customer_table.dart                       | Dart     |         67 |          5 |          3 |         75 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\daily_reports_screen.dart                          | Dart     |        232 |          1 |          3 |        236 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\general_ledger\general_ledger_table.dart           | Dart     |         80 |          0 |          3 |         83 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\retained_earnings\retained_earnings_table.dart     | Dart     |         67 |          5 |          3 |         75 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\supplier\supplier_table.dart                       | Dart     |         67 |          5 |          3 |         75 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\trial_balance\trial_balance_table.dart             | Dart     |         63 |          5 |          3 |         71 |
| d:\Flutter\old_version\lib\view\reports\daily_reports\withdraw\withdraw_table.dart                       | Dart     |         67 |          5 |          3 |         75 |
| d:\Flutter\old_version\lib\view\reports\financial_reports\financial_reports_screen.dart                  | Dart     |          8 |          0 |          2 |         10 |
| d:\Flutter\old_version\lib\view\reports\inventory_reports\inventory_reports_screen.dart                  | Dart     |          8 |          0 |          2 |         10 |
| d:\Flutter\old_version\lib\view\reports\reports_screen.dart                                              | Dart     |        149 |          0 |          4 |        153 |
| d:\Flutter\old_version\lib\view\settings\components\back_up_widget.dart                                  | Dart     |        183 |          1 |          7 |        191 |
| d:\Flutter\old_version\lib\view\settings\components\custom_dropdown_setting.dart                         | Dart     |        165 |          2 |          8 |        175 |
| d:\Flutter\old_version\lib\view\settings\components\custom_textfield_setting.dart                        | Dart     |         51 |          1 |          3 |         55 |
| d:\Flutter\old_version\lib\view\settings\components\language_card.dart                                   | Dart     |         45 |          0 |          3 |         48 |
| d:\Flutter\old_version\lib\view\settings\components\security_widget.dart                                 | Dart     |        155 |          0 |          3 |        158 |
| d:\Flutter\old_version\lib\view\settings\invoices\custom_drop_down_items_invoice.dart                    | Dart     |        153 |          1 |          6 |        160 |
| d:\Flutter\old_version\lib\view\settings\invoices\mobile\invoice_screen_mobile.dart                      | Dart     |         77 |          0 |          3 |         80 |
| d:\Flutter\old_version\lib\view\settings\invoices\shared\design_barcode.dart                             | Dart     |        123 |          5 |          5 |        133 |
| d:\Flutter\old_version\lib\view\settings\invoices\shared\design_page.dart                                | Dart     |        622 |         50 |          4 |        676 |
| d:\Flutter\old_version\lib\view\settings\invoices\shared\printing_barcode.dart                           | Dart     |         44 |          0 |          3 |         47 |
| d:\Flutter\old_version\lib\view\settings\invoices\shared\printing_widget.dart                            | Dart     |        251 |          1 |          6 |        258 |
| d:\Flutter\old_version\lib\view\settings\invoices\windows\invoices_screen_windows.dart                   | Dart     |        102 |          2 |          4 |        108 |
| d:\Flutter\old_version\lib\view\settings\mobile\back_up_screen_mobile.dart                               | Dart     |         19 |          0 |          3 |         22 |
| d:\Flutter\old_version\lib\view\settings\mobile\customers_details_mobile.dart                            | Dart     |        139 |          3 |          4 |        146 |
| d:\Flutter\old_version\lib\view\settings\mobile\language_screen_mobile.dart                              | Dart     |         49 |          0 |          3 |         52 |
| d:\Flutter\old_version\lib\view\settings\mobile\security_screen_mobile.dart                              | Dart     |         24 |          0 |          3 |         27 |
| d:\Flutter\old_version\lib\view\settings\mobile\setting_screen_mobile.dart                               | Dart     |         83 |          2 |          3 |         88 |
| d:\Flutter\old_version\lib\view\settings\mobile\system_update_mobile.dart                                | Dart     |         90 |          1 |          3 |         94 |
| d:\Flutter\old_version\lib\view\settings\setting_screen.dart                                             | Dart     |         20 |          0 |          3 |         23 |
| d:\Flutter\old_version\lib\view\settings\windows\right_side_widget.dart                                  | Dart     |         93 |          4 |          3 |        100 |
| d:\Flutter\old_version\lib\view\settings\windows\setting_screen_windows.dart                             | Dart     |         39 |          0 |          3 |         42 |
| d:\Flutter\old_version\lib\view\settings\windows\tabs\backup_screen_windows.dart                         | Dart     |         25 |          0 |          3 |         28 |
| d:\Flutter\old_version\lib\view\settings\windows\tabs\currency_windows.dart                              | Dart     |         47 |          0 |          3 |         50 |
| d:\Flutter\old_version\lib\view\settings\windows\tabs\customers_details_windows.dart                     | Dart     |        236 |          0 |          3 |        239 |
| d:\Flutter\old_version\lib\view\settings\windows\tabs\language_screen_windows.dart                       | Dart     |         51 |          0 |          3 |         54 |
| d:\Flutter\old_version\lib\view\settings\windows\tabs\security_screen_windows.dart                       | Dart     |         26 |          0 |          3 |         29 |
| d:\Flutter\old_version\lib\view\settings\windows\tabs\system_update_screen_windows.dart                  | Dart     |         99 |          1 |          3 |        103 |
| d:\Flutter\old_version\lib\view\transactions\components\action_row_buttton_widget.dart                   | Dart     |         42 |          0 |          2 |         44 |
| d:\Flutter\old_version\lib\view\transactions\payment\widgets\transaction_drop_down_payment_accounts.dart | Dart     |        152 |          0 |          5 |        157 |
| d:\Flutter\old_version\lib\view\transactions\payment\widgets\transaction_payment_dialog_form_widget.dart | Dart     |         86 |          0 |          3 |         89 |
| d:\Flutter\old_version\lib\view\transactions\payment\widgets\transaction_payment_table_widget.dart       | Dart     |        118 |          0 |          6 |        124 |
| d:\Flutter\old_version\lib\view\transactions\payment\windows\transaction_payment_windows_screen.dart     | Dart     |        154 |          3 |          6 |        163 |
| d:\Flutter\old_version\lib\view\transactions\receipt\mobile\transaction_receipt_mobile_screen.dart       | Dart     |          8 |          0 |          2 |         10 |
| d:\Flutter\old_version\lib\view\transactions\receipt\widgets\transaction_drop_down_receipt_accounts.dart | Dart     |        152 |          0 |          5 |        157 |
| d:\Flutter\old_version\lib\view\transactions\receipt\widgets\transaction_receipt_dialog_form.dart        | Dart     |         86 |          0 |          3 |         89 |
| d:\Flutter\old_version\lib\view\transactions\receipt\widgets\transaction_receipt_table_widget.dart       | Dart     |        149 |         27 |          9 |        185 |
| d:\Flutter\old_version\lib\view\transactions\receipt\windows\transaction_receipt_windows_screen.dart     | Dart     |        154 |          3 |          7 |        164 |
| d:\Flutter\old_version\lib\view\transactions\transaction_receipt_screen.dart                             | Dart     |         16 |          0 |          3 |         19 |
| d:\Flutter\old_version\lib\view\transactions\transactions_payment_screen.dart                            | Dart     |         15 |          0 |          3 |         18 |
| d:\Flutter\old_version\lib\view\transactions\transactions_screen.dart                                    | Dart     |        135 |          0 |          4 |        139 |
| d:\Flutter\old_version\lib\view\widgets\tables\custom_table_cell.dart                                    | Dart     |         31 |          0 |          2 |         33 |
| d:\Flutter\old_version\lib\view\widgets\tables\custom_table_cell_change_number.dart                      | Dart     |         45 |          0 |          2 |         47 |
| d:\Flutter\old_version\lib\view\widgets\tables\custom_table_headers.dart                                 | Dart     |         26 |          0 |          2 |         28 |
| d:\Flutter\old_version\lib\view\widgets\tables\custom_table_widget.dart                                  | Dart     |         56 |         16 |          6 |         78 |
| d:\Flutter\old_version\lib\view\widgets\tables\table_cell.dart                                           | Dart     |         35 |          1 |          6 |         42 |
| d:\Flutter\old_version\lib\view\widgets\tables\table_cell_change_number.dart                             | Dart     |         49 |          0 |          2 |         51 |
| d:\Flutter\old_version\lib\view\widgets\tables\table_widget.dart                                         | Dart     |        187 |          1 |          7 |        195 |
| Total                                                                                                    |          |     39,759 |      2,131 |      2,407 |     44,297 |
+----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
